order_id,loan_date,period,due_date,repay_date,loan_amount
id_31,2021-02-05,11,2022-01-05,2022-01-05,342.73
id_32,2021-02-06,3,2021-05-06,2021-05-06,488.8
id_33,2021-02-06,3,2021-05-06,,163.03
id_34,2021-02-07,3,2021-05-07,2021-05-07,187.49
id_35,2021-02-07,12,2022-02-07,2022-02-07,86.19
id_34,2021-02-07,9,2021-11-07,2021-11-07,194.63
id_36,2021-02-08,7,2021-09-08,2021-09-05,125.36
id_37,2021-02-09,9,2021-11-09,2021-11-06,93.08
id_38,2021-02-10,9,2021-11-10,2021-11-10,601.04
id_39,2021-02-10,6,2021-08-10,2021-07-26,415.28
id_40,2021-02-10,7,2021-09-10,2021-09-08,83.58
id_41,2021-02-10,1,2021-03-10,,177.12
id_42,2021-02-11,3,2021-05-11,2021-03-26,414.76
id_43,2021-02-11,9,2021-11-11,2021-11-11,496.52
id_44,2021-02-11,9,2021-11-11,2021-11-08,87.11
id_45,2021-02-11,9,2021-11-11,2021-11-12,169.24
id_46,2021-02-12,7,2021-09-12,2021-06-30,1253.61
id_47,2021-02-12,7,2021-09-12,2021-09-04,133.72
id_48,2021-02-13,2,2021-04-13,2021-04-13,121.52
id_49,2021-02-14,2,2021-04-14,2021-04-04,135.83
id_50,2021-02-15,12,2022-02-15,2022-01-13,353.46
id_51,2021-02-16,3,2021-05-16,2021-05-15,271.55
id_52,2021-02-16,1,2021-03-16,2021-03-15,169.06
id_53,2021-02-16,2,2021-04-16,2021-04-17,154.1
id_54,2021-02-19,1,2021-03-19,2021-02-20,402.54
id_55,2021-02-20,12,2022-02-20,,353.46
id_56,2021-02-21,5,2021-07-21,,288.89
id_57,2021-02-21,11,2022-01-21,2022-01-21,514.09
id_58,2021-02-22,1,2021-03-22,2021-03-22,128.81
id_59,2021-02-22,4,2021-06-22,2021-06-22,246.08
id_60,2021-02-22,2,2021-04-22,,264.17
id_61,2021-02-22,3,2021-05-22,2021-05-22,146.73
id_62,2021-02-23,12,2022-02-23,2022-02-12,181.09
id_63,2021-02-23,10,2021-12-23,2021-06-17,340.6
id_64,2021-02-23,9,2021-11-23,2021-08-06,110.0
id_65,2021-02-23,4,2021-06-23,2021-06-23,110.07
id_66,2021-02-25,3,2021-05-25,2021-05-22,244.55
id_67,2021-02-26,11,2022-01-26,2022-01-25,257.05
id_68,2021-02-26,5,2021-07-26,2021-07-26,242.13
id_69,2021-02-27,10,2021-12-27,2021-12-27,187.1
id_70,2021-03-02,12,2022-03-02,2022-03-02,310.36
id_71,2021-03-02,8,2021-11-02,2021-11-02,587.73
id_72,2021-03-02,2,2021-05-02,2021-04-12,194.43
id_73,2021-03-03,4,2021-07-03,2021-07-02,164.05
id_74,2021-03-03,9,2021-12-03,2021-12-03,135.39
id_75,2021-03-03,4,2021-07-03,,82.03
id_76,2021-03-06,7,2021-10-06,2021-10-01,250.72
id_77,2021-03-06,12,2022-03-06,2022-03-06,191.56
id_78,2021-03-06,6,2021-09-06,,818.76
id_79,2021-03-06,12,2022-03-06,2021-08-03,215.61
id_80,2021-03-08,11,2022-02-08,2022-02-08,154.23
id_81,2021-03-08,10,2022-01-08,2022-01-08,204.36
id_82,2021-03-08,2,2021-05-08,2021-05-08,202.52
id_83,2021-03-09,10,2022-01-09,2022-01-09,136.24
id_84,2021-03-10,5,2021-08-10,2021-08-10,82.54
id_85,2021-03-11,4,2021-07-11,2021-07-08,205.06
id_86,2021-03-14,12,2022-03-14,2022-02-18,112.14
id_87,2021-03-15,5,2021-08-15,,385.05
id_88,2021-03-16,4,2021-07-16,2021-07-13,287.09
id_89,2021-03-16,3,2021-06-16,2021-06-15,769.92
id_89,2021-03-16,6,2021-09-16,2021-09-15,818.76
id_90,2021-03-16,2,2021-05-16,2021-05-14,291.64
id_91,2021-03-17,2,2021-05-17,2021-05-17,266.13
id_92,2021-03-18,7,2021-10-18,2021-10-17,83.58
id_93,2021-03-18,7,2021-10-18,2021-05-06,267.43
id_94,2021-03-18,3,2021-06-18,2021-06-18,81.52
id_95,2021-03-19,8,2021-11-19,2021-11-19,294.34
id_96,2021-03-19,1,2021-04-19,2021-04-19,80.51
id_97,2021-03-21,5,2021-08-21,2021-08-15,80.22
id_98,2021-03-21,3,2021-06-21,2021-04-22,76.99
id_99,2021-03-22,4,2021-07-22,2021-07-06,131.24
id_100,2021-03-22,7,2021-10-22,2021-10-22,451.3
id_101,2021-03-24,2,2021-05-24,2021-05-23,194.43
id_102,2021-03-25,7,2021-10-25,2022-01-07,83.92
id_103,2021-03-25,10,2022-01-25,2022-01-25,133.3
id_104,2021-03-25,1,2021-04-25,2021-04-25,362.28
id_105,2021-03-26,3,2021-06-26,2021-06-28,277.16
id_106,2021-03-26,4,2021-07-26,2021-07-15,237.88
id_107,2021-03-27,11,2022-02-27,2022-02-27,90.71
id_108,2021-03-27,8,2021-11-27,2021-12-02,420.48
id_109,2021-03-27,1,2021-04-27,2021-04-27,281.77
id_110,2021-03-27,8,2021-11-27,2021-11-23,187.66
id_111,2021-03-27,10,2022-01-27,2022-01-30,562.0
id_112,2021-03-27,1,2021-04-27,2021-04-27,80.51
id_113,2021-03-28,5,2021-08-28,2021-08-28,528.25
id_114,2021-03-29,5,2021-08-29,2021-08-29,320.87
id_115,2021-03-29,9,2021-12-28,2021-12-29,186.17
id_116,2021-03-29,1,2021-04-28,2021-04-02,80.51
id_117,2021-03-30,8,2021-11-28,2021-11-26,336.39
id_118,2021-03-30,7,2021-10-30,2021-10-30,167.84
id_119,2021-03-30,2,2021-05-30,2021-05-30,114.06
id_117,2021-03-30,2,2021-05-28,2021-05-28,324.05
id_120,2021-03-30,3,2021-06-28,2021-06-28,285.31
id_121,2021-03-30,11,2022-02-28,2022-03-01,111.38
id_122,2021-03-30,9,2021-12-30,2021-12-30,506.38
id_123,2021-03-31,8,2021-11-30,,479.38
id_124,2021-03-31,6,2021-09-28,2021-09-28,373.76
id_125,2021-03-31,8,2021-11-28,2021-11-26,294.35
id_126,2021-03-31,12,2022-03-28,2021-08-06,85.74
id_127,2021-04-01,7,2021-11-01,2021-10-03,83.58
id_128,2021-04-01,3,2021-07-01,2021-05-05,387.8
id_129,2021-04-01,4,2021-08-01,2021-08-01,246.08
id_130,2021-04-02,11,2022-03-02,2022-03-02,308.46
id_131,2021-04-02,8,2021-12-02,2021-10-09,260.7
id_132,2021-04-03,4,2021-08-03,2021-05-31,328.11
id_133,2021-04-03,2,2021-06-03,2021-06-02,294.19
id_134,2021-04-05,7,2021-11-05,2021-11-01,300.88
id_135,2021-04-06,3,2021-07-06,2021-07-05,155.12
id_136,2021-04-06,3,2021-07-06,2021-07-05,187.49
id_137,2021-04-06,11,2022-03-06,,409.88
id_138,2021-04-07,12,2022-04-07,,94.87
id_139,2021-04-07,5,2021-09-07,2021-09-07,206.34
id_140,2021-04-08,7,2021-11-08,2021-11-08,242.37
id_141,2021-04-08,7,2021-11-08,,83.58
id_142,2021-04-09,11,2022-03-09,2021-12-10,209.5
id_143,2021-04-10,5,2021-09-10,2021-09-10,152.41
id_144,2021-04-10,2,2021-06-10,2021-06-10,145.82
id_145,2021-04-10,4,2021-08-10,2021-08-10,82.03
id_146,2021-04-11,10,2022-02-11,,399.94
id_147,2021-04-11,12,2022-04-11,,129.29
id_146,2021-04-11,12,2022-04-11,,428.07
id_148,2021-04-12,2,2021-06-12,2021-06-11,283.54
id_149,2021-04-13,7,2021-11-13,2021-11-10,117.0
id_150,2021-04-13,11,2022-03-13,2022-03-18,128.53
id_151,2021-04-18,12,2022-04-18,,215.61
id_152,2021-04-18,1,2021-05-18,2021-05-17,104.65
id_153,2021-04-18,11,2022-03-18,2022-03-19,85.69
id_154,2021-04-18,6,2021-10-18,2021-10-20,141.2
id_155,2021-04-14,2,2021-06-14,2021-06-12,445.56
id_156,2021-04-19,7,2021-11-19,2021-11-19,250.72
id_157,2021-04-19,5,2021-09-19,2021-09-19,288.89
id_151,2021-04-18,1,2021-05-18,2021-05-18,201.26
id_158,2021-04-15,10,2022-02-15,2022-02-15,212.87
id_159,2021-04-20,10,2022-02-20,2022-02-22,298.03
id_160,2021-04-21,3,2021-07-21,2021-07-21,163.03
id_161,2021-04-22,5,2021-09-22,2021-09-21,123.81
id_162,2021-04-23,10,2022-02-23,2022-02-22,187.34
id_163,2021-04-24,6,2021-10-24,2021-10-24,99.67
id_164,2021-04-24,7,2021-11-24,2021-11-28,108.64
id_165,2021-04-25,6,2021-10-25,2021-07-03,107.97
id_166,2021-04-25,7,2021-11-25,2021-11-02,208.93
id_167,2021-04-25,1,2021-05-25,2021-05-24,281.77
id_165,2021-04-25,8,2021-12-25,2021-07-03,109.32
id_168,2021-04-25,5,2021-09-25,2021-08-02,387.93
id_169,2021-04-26,3,2021-07-26,2021-07-26,81.52
id_170,2021-04-27,3,2021-07-27,2021-07-27,81.52
id_171,2021-04-27,7,2021-11-27,2021-11-29,292.51
id_172,2021-04-28,6,2021-10-28,2021-10-28,415.28
id_173,2021-05-02,11,2022-04-02,,299.89
id_174,2021-05-02,1,2021-06-02,2021-06-02,88.55
id_175,2021-05-02,7,2021-12-02,,250.72
id_176,2021-05-08,12,2022-05-08,2021-08-13,146.54
id_177,2021-05-09,1,2021-06-09,2021-05-25,136.86
id_178,2021-05-09,2,2021-07-09,2021-07-08,218.73
id_179,2021-05-10,10,2022-03-10,,161.79
id_180,2021-05-12,10,2022-03-12,2022-03-12,281.0
id_181,2021-05-13,7,2021-12-13,2021-12-14,83.58
id_182,2021-05-13,6,2021-11-13,2021-07-28,265.77
id_183,2021-05-13,9,2022-02-13,2022-02-13,84.62
id_184,2021-05-13,2,2021-07-13,2021-07-05,81.01
id_185,2021-05-14,9,2022-02-14,,87.06
id_186,2021-05-14,10,2022-03-14,2022-02-24,85.15
id_186,2021-05-14,4,2021-09-14,2021-09-13,82.03
id_187,2021-05-15,4,2021-09-15,2021-09-15,328.11
id_188,2021-05-15,4,2021-09-15,2021-09-15,392.92
id_189,2021-05-16,1,2021-06-16,2021-06-15,249.57
id_190,2021-05-17,6,2021-11-17,2021-11-09,373.75
id_191,2021-05-18,4,2021-09-18,2021-09-18,114.84
id_192,2021-05-18,2,2021-07-18,2021-07-18,342.17
id_193,2021-05-19,6,2021-11-19,,249.16
id_194,2021-05-19,9,2022-02-19,,253.86
id_194,2021-05-19,7,2021-12-19,2021-12-11,250.72
id_193,2021-05-19,9,2022-02-19,,253.86
id_195,2021-05-19,11,2022-04-19,,385.58
id_196,2021-05-19,5,2021-10-19,2021-06-01,412.7
id_197,2021-05-19,2,2021-07-19,2021-07-19,342.17
id_198,2021-05-21,8,2022-01-21,2021-05-22,302.75
id_199,2021-05-21,7,2021-12-21,2021-12-21,125.88
id_200,2021-05-22,9,2022-02-22,,435.32
id_201,2021-05-23,7,2021-12-23,2021-12-28,151.06
id_202,2021-05-23,2,2021-07-23,2021-07-10,76.04
id_203,2021-05-24,3,2021-08-24,2021-08-30,105.97
id_204,2021-05-25,7,2021-12-25,2021-12-25,292.51
id_205,2021-05-25,7,2021-12-25,2021-09-18,242.37
id_206,2021-05-25,11,2022-04-25,,471.26
id_207,2021-05-25,2,2021-07-25,2021-07-25,243.03
id_208,2021-05-25,9,2022-02-25,,431.57
id_206,2021-05-25,6,2021-11-25,2021-11-24,456.81
id_209,2021-05-26,5,2021-10-26,2021-10-26,895.43
id_210,2021-05-27,3,2021-08-27,2021-08-28,203.79
id_211,2021-05-28,12,2022-05-28,,429.94
id_212,2021-05-28,3,2021-08-28,2021-08-28,244.55
id_213,2021-05-28,10,2022-03-28,2022-04-01,98.36
id_212,2021-05-28,12,2022-05-28,,258.68
id_214,2021-05-28,8,2022-01-28,2022-01-28,426.5
id_215,2021-05-28,5,2021-10-28,,80.67
id_216,2021-05-28,12,2022-05-28,2021-10-09,143.3
id_217,2021-05-28,8,2022-01-28,,470.94
id_218,2021-05-28,7,2021-12-28,2021-12-28,234.01
id_219,2021-05-28,11,2022-04-28,,253.99
id_220,2021-05-29,2,2021-07-29,2021-07-16,190.09
id_221,2021-05-29,1,2021-06-28,2021-06-28,523.29
id_222,2021-05-29,3,2021-08-29,2021-08-29,346.46
id_223,2021-05-29,8,2022-01-29,2022-01-23,127.95
id_224,2021-05-30,1,2021-06-28,,104.93
id_225,2021-05-31,7,2021-12-31,2021-12-13,208.94
id_226,2021-05-31,1,2021-06-30,2021-06-27,268.41
id_227,2021-05-31,4,2021-09-28,2021-10-04,410.15
id_228,2021-06-01,12,2022-06-01,,475.04
id_229,2021-06-01,10,2022-04-01,2022-02-26,255.45
id_230,2021-06-02,12,2022-06-02,2021-11-30,427.53
id_231,2021-06-02,3,2021-09-02,2021-09-02,384.97
id_232,2021-06-02,8,2022-02-02,2021-10-19,383.87
id_233,2021-06-02,3,2021-09-02,2021-09-01,200.18
id_234,2021-06-02,7,2022-01-02,2022-01-03,409.53
id_232,2021-06-02,7,2022-01-02,2021-10-19,376.1
id_235,2021-06-03,6,2021-12-03,2021-12-03,373.75
id_236,2021-06-03,1,2021-07-03,2021-07-03,161.01
id_237,2021-06-04,5,2021-11-04,2021-11-04,412.7
id_238,2021-06-05,9,2022-03-05,2022-03-05,96.58
id_239,2021-06-05,10,2022-04-05,,383.18
id_240,2021-06-07,8,2022-02-07,2022-02-07,187.67
id_241,2021-06-08,7,2022-01-08,,252.31
id_242,2021-06-08,5,2021-11-08,2021-11-08,82.54
id_243,2021-06-09,3,2021-09-09,2021-09-09,307.97
id_244,2021-06-10,8,2022-02-10,2022-02-09,252.29
id_245,2021-06-11,5,2021-11-11,2021-11-11,99.05
id_246,2021-06-11,8,2022-02-11,2022-02-12,85.3
id_247,2021-06-12,5,2021-11-12,,189.84
id_248,2021-06-12,1,2021-07-12,2021-07-10,88.55
id_249,2021-06-12,9,2022-03-12,2022-03-12,126.94
id_250,2021-06-12,3,2021-09-12,2021-09-12,230.98
id_251,2021-06-12,1,2021-07-12,2021-07-10,128.81
id_252,2021-06-13,7,2022-01-13,2022-01-13,83.58
id_253,2021-06-13,5,2021-11-13,2021-11-07,107.3
id_254,2021-06-13,5,2021-11-13,2021-11-08,123.81
id_255,2021-06-15,8,2022-02-15,2022-02-14,134.55
id_256,2021-06-15,7,2022-01-15,2021-06-29,336.42
id_257,2021-06-15,10,2022-04-15,,510.9
id_258,2021-06-17,5,2021-11-17,2021-11-01,206.34
id_259,2021-06-18,9,2022-03-18,2022-02-28,186.17
id_260,2021-06-18,9,2022-03-18,2021-10-31,438.96
id_261,2021-06-18,7,2022-01-18,2021-06-29,417.87
id_262,2021-06-19,12,2022-06-19,,86.19
id_263,2021-06-20,5,2021-11-20,2021-11-20,160.44
id_264,2021-06-20,6,2021-12-20,2021-12-20,164.57
id_265,2021-06-21,2,2021-08-21,2021-08-21,128.24
id_266,2021-06-21,1,2021-07-21,2021-07-22,257.62
id_267,2021-06-21,10,2022-04-21,,88.88
id_268,2021-06-21,2,2021-08-21,,573.29
id_269,2021-06-21,3,2021-09-21,2021-09-22,346.47
id_270,2021-06-22,12,2022-06-22,,95.02
id_271,2021-06-22,3,2021-09-22,2021-09-22,76.99
id_272,2021-06-23,9,2022-03-23,2022-03-23,423.11
id_273,2021-06-23,4,2021-10-23,2021-10-22,492.15
id_274,2021-06-23,2,2021-08-23,2021-08-22,82.98
id_275,2021-06-23,5,2021-11-23,2021-12-02,82.54
id_276,2021-06-24,9,2022-03-24,2021-11-25,87.79
id_277,2021-06-24,10,2022-04-24,,399.97
id_276,2021-06-24,11,2022-05-24,2021-11-25,90.84
id_278,2021-06-24,2,2021-08-24,2021-08-24,173.5
id_279,2021-06-24,3,2021-09-24,2021-09-23,400.36
id_280,2021-06-25,7,2022-01-25,2021-08-23,501.47
id_281,2021-06-25,12,2022-06-25,,146.54
id_282,2021-06-26,6,2021-12-26,2021-07-21,124.59
id_283,2021-06-26,10,2022-04-26,,85.15
id_284,2021-06-26,2,2021-08-26,2021-08-26,264.02
id_285,2021-06-27,9,2022-03-27,2022-03-27,93.08
id_286,2021-06-27,10,2022-04-27,,328.86
id_287,2021-06-27,7,2022-01-27,2022-01-19,501.47
id_288,2021-06-27,6,2021-12-27,2021-12-27,329.14
id_289,2021-06-28,9,2022-03-28,2021-12-30,280.93
id_290,2021-06-29,10,2022-04-29,,186.66
id_291,2021-06-29,10,2022-04-29,,444.42
id_292,2021-06-30,9,2022-03-30,,87.32
id_293,2021-06-30,9,2022-03-28,,169.24
id_294,2021-06-30,4,2021-10-30,2021-10-30,553.7
id_295,2021-06-30,4,2021-10-28,2021-11-02,205.07
id_296,2021-06-30,6,2021-12-28,2021-12-28,107.97
id_297,2021-07-01,9,2022-04-01,2022-03-31,261.22
id_298,2021-07-01,11,2022-06-01,,359.87
id_299,2021-07-01,6,2022-01-01,2022-01-01,332.22
id_300,2021-07-01,8,2022-03-01,2022-02-17,284.43
id_301,2021-07-03,4,2021-11-03,2021-11-03,369.12
id_302,2021-07-04,11,2022-06-04,,371.92
id_303,2021-07-04,10,2022-05-04,,340.6
id_304,2021-07-05,4,2021-11-05,,90.23
id_305,2021-07-05,4,2021-11-05,2021-10-21,155.85
id_306,2021-07-05,4,2021-11-05,2021-11-13,125.74
id_307,2021-07-05,2,2021-09-05,2021-09-05,377.1
id_308,2021-07-06,6,2022-01-06,2021-07-29,253.71
id_309,2021-07-06,4,2021-11-06,2021-11-06,328.11
id_308,2021-07-06,10,2022-05-06,2021-07-29,282.96
id_310,2021-07-07,7,2022-02-07,,183.84
id_311,2021-07-07,5,2021-12-07,2021-12-07,453.97
id_312,2021-07-08,5,2021-12-08,2021-11-05,403.34
id_313,2021-07-10,2,2021-09-10,2021-09-01,1508.4
id_314,2021-07-11,1,2021-08-11,2021-08-11,249.57
id_315,2021-07-11,7,2022-02-11,2022-02-11,83.58
id_316,2021-07-12,11,2022-06-12,,85.69
id_317,2021-07-13,1,2021-08-13,2021-08-14,193.22
id_318,2021-07-13,6,2022-01-13,2022-01-13,409.36
id_319,2021-07-14,6,2022-01-14,2022-01-14,409.36
id_320,2021-07-15,12,2022-07-15,,793.19
id_321,2021-07-15,8,2022-03-15,2022-03-01,250.65
id_322,2021-07-15,8,2022-03-15,2021-11-08,190.15
id_323,2021-07-16,1,2021-08-16,2021-08-16,644.06
id_324,2021-07-16,4,2021-11-16,,82.03
id_325,2021-07-17,3,2021-10-17,2021-10-17,387.73
id_326,2021-07-18,8,2022-03-18,2022-03-15,387.85
id_327,2021-07-18,3,2021-10-18,,244.55
id_328,2021-07-19,10,2022-05-19,,267.17
id_329,2021-07-20,11,2022-06-20,,453.57
id_330,2021-07-21,7,2022-02-21,2022-02-21,420.53
id_331,2021-07-21,9,2022-04-21,2021-09-26,423.11
id_332,2021-07-25,11,2022-06-25,,281.4
id_333,2021-07-26,9,2022-04-26,,139.32
id_334,2021-07-27,11,2022-06-27,,239.91
id_335,2021-07-27,12,2022-07-27,,433.73
id_336,2021-07-27,1,2021-08-27,2021-08-27,392.73
id_337,2021-07-28,11,2022-06-28,,644.06
id_338,2021-07-29,4,2021-11-29,2021-11-27,471.49
id_339,2021-07-30,10,2022-05-28,,170.3
id_340,2021-01-01,2,2021-03-01,2021-03-01,161.41
id_341,2021-01-02,2,2021-03-02,2021-03-01,161.41
id_342,2021-01-02,6,2021-07-02,2021-07-02,249.05
id_343,2021-01-07,6,2021-07-07,2021-07-08,107.92
id_344,2021-01-09,10,2021-11-09,2021-11-10,93.93
id_345,2021-01-10,4,2021-05-10,2021-05-10,122.78
id_346,2021-01-11,8,2021-09-11,,84.2
id_7,2021-01-13,4,2021-05-13,2021-05-07,81.85
id_347,2021-01-14,7,2021-08-14,,167.21
id_348,2021-01-25,12,2022-01-25,2022-01-21,258.68
id_349,2021-01-25,9,2021-10-25,2021-10-25,113.54
id_350,2021-01-25,7,2021-08-25,2021-08-25,208.93
id_351,2021-01-26,1,2021-02-26,2021-02-16,305.93
id_352,2021-01-26,10,2021-11-26,2022-01-19,115.57
id_353,2021-01-26,5,2021-06-26,2021-07-21,165.07
id_354,2021-01-26,7,2021-08-26,2021-08-26,142.08
id_355,2021-01-28,3,2021-04-28,,652.14
id_356,2021-01-28,9,2021-10-28,,338.49
id_22,2021-01-29,2,2021-03-29,2021-04-01,107.33
id_357,2021-01-31,6,2021-07-28,2021-07-21,141.2
id_358,2021-02-01,8,2021-10-01,2021-07-28,252.29
id_359,2021-02-01,9,2021-11-01,2021-10-31,174.22
id_360,2021-02-02,10,2021-12-02,2021-12-02,356.36
id_361,2021-02-02,10,2021-12-02,2021-12-04,851.5
id_362,2021-02-04,8,2021-10-04,2021-09-30,260.7
id_363,2021-02-04,6,2021-08-04,2021-08-01,240.86
id_364,2021-02-05,4,2021-06-05,2021-03-20,353.81
id_365,2021-02-06,3,2021-05-06,,285.31
id_366,2021-02-06,5,2021-07-06,2021-07-05,99.05
id_367,2021-02-06,9,2021-11-06,2022-02-24,236.94
id_368,2021-02-06,9,2021-11-06,2021-11-07,84.62
id_367,2021-02-06,12,2022-02-06,2022-02-24,241.42
id_369,2021-02-08,7,2021-09-08,2021-09-08,83.61
id_370,2021-02-08,8,2021-10-08,2021-10-01,227.07
id_371,2021-02-09,3,2021-05-09,2021-05-07,179.34
id_372,2021-02-10,7,2021-09-10,2021-06-03,167.14
id_373,2021-02-10,3,2021-05-10,2021-04-12,203.79
id_45,2021-02-11,12,2022-02-11,2022-02-12,172.49
id_374,2021-02-11,1,2021-03-11,2021-03-07,166.96
id_375,2021-02-12,12,2022-02-12,2022-02-11,387.96
id_376,2021-02-12,7,2021-09-12,2021-09-26,210.26
id_377,2021-02-13,10,2021-12-13,2021-12-13,127.73
id_378,2021-02-13,5,2021-07-13,2021-07-11,140.32
id_379,2021-02-14,3,2021-05-14,2021-05-14,170.69
id_380,2021-02-15,2,2021-04-15,2021-04-12,137.72
id_381,2021-02-16,11,2022-01-16,2021-07-29,544.5
id_382,2021-02-18,4,2021-06-18,2021-06-19,117.94
id_383,2021-02-20,3,2021-05-20,2021-05-22,124.14
id_384,2021-02-20,6,2021-08-20,2021-08-13,116.28
id_385,2021-02-21,10,2021-12-21,2021-12-21,144.76
id_57,2021-02-21,6,2021-08-21,2021-08-20,498.32
id_386,2021-02-21,7,2021-09-21,2021-09-22,83.58
id_387,2021-02-21,3,2021-05-21,2021-03-28,240.51
id_388,2021-02-22,5,2021-07-22,2021-07-22,825.39
id_389,2021-02-22,4,2021-06-22,2021-06-22,328.11
id_390,2021-02-22,9,2021-11-22,,95.82
id_391,2021-02-23,4,2021-06-23,2021-06-24,283.04
id_392,2021-02-23,2,2021-04-23,2021-04-17,188.65
id_393,2021-02-24,9,2021-11-24,2021-11-24,110.0
id_393,2021-02-24,11,2022-01-24,2022-01-24,111.38
id_394,2021-02-25,10,2021-12-25,2021-12-07,161.79
id_395,2021-02-25,2,2021-04-25,2021-04-25,243.03
id_396,2021-02-25,5,2021-07-25,2021-07-22,165.07
id_397,2021-02-26,5,2021-07-26,2021-07-23,863.61
id_398,2021-02-27,8,2021-10-27,2021-10-27,252.29
id_399,2021-02-27,6,2021-08-27,2021-08-26,332.22
id_400,2021-02-28,6,2021-08-28,2021-07-05,166.1
id_401,2021-03-02,2,2021-05-02,,145.82
id_402,2021-03-04,5,2021-08-04,2021-03-30,123.81
id_403,2021-03-04,6,2021-09-04,2021-09-03,352.07
id_404,2021-03-04,8,2021-11-04,2021-11-04,388.94
id_405,2021-03-06,7,2021-10-06,2021-10-06,100.29
id_406,2021-03-06,11,2022-02-06,2022-02-06,214.2
id_407,2021-03-07,6,2021-09-07,2021-08-21,294.75
id_408,2021-03-07,6,2021-09-07,2021-09-07,207.63
id_409,2021-03-08,10,2022-01-08,2022-01-07,110.69
id_410,2021-03-08,12,2022-03-08,2022-03-08,1915.7
id_411,2021-03-09,4,2021-07-09,2021-07-09,174.01
id_412,2021-03-10,6,2021-09-10,2021-09-11,149.5
id_413,2021-03-10,5,2021-08-10,2021-08-10,224.61
id_414,2021-03-11,3,2021-06-11,2021-06-11,97.82
id_414,2021-03-11,9,2021-12-11,2021-12-11,101.55
id_415,2021-03-11,12,2022-03-11,2022-03-11,189.63
id_416,2021-03-11,12,2022-03-11,2022-03-10,215.61
id_417,2021-03-12,10,2022-01-12,,328.6
id_418,2021-03-12,11,2022-02-12,2022-02-04,85.69
id_419,2021-03-12,1,2021-04-12,2021-04-14,161.01
id_420,2021-03-16,4,2021-07-16,2021-04-01,711.89
id_421,2021-03-16,11,2022-02-16,2022-02-16,299.89
id_422,2021-03-17,2,2021-05-17,2021-05-06,153.92
id_91,2021-03-17,8,2021-11-17,2021-11-11,298.56
id_423,2021-03-17,7,2021-10-17,2021-10-17,384.44
id_424,2021-03-17,6,2021-09-17,2021-09-17,83.06
id_425,2021-03-18,6,2021-09-18,,622.91
id_426,2021-03-18,7,2021-10-18,,117.0
id_427,2021-03-18,9,2021-12-18,2021-12-18,262.33
id_428,2021-03-18,2,2021-05-18,2021-05-18,97.21
id_429,2021-03-19,7,2021-10-19,2021-10-21,167.14
id_430,2021-03-19,5,2021-08-19,2021-08-16,511.75
id_431,2021-03-19,5,2021-08-19,2021-08-23,80.22
id_432,2021-03-19,4,2021-07-19,2021-04-04,246.08
id_433,2021-03-20,8,2021-11-20,2021-12-11,420.48
id_434,2021-03-21,8,2021-11-21,2021-11-22,756.87
id_435,2021-03-21,8,2021-11-21,2021-11-17,84.1
id_436,2021-03-21,11,2022-02-21,2022-02-11,342.73
id_437,2021-03-22,12,2022-03-22,2022-02-03,137.96
id_438,2021-03-22,12,2022-03-22,,275.95
id_439,2021-03-22,7,2021-10-22,2021-10-21,209.81
id_437,2021-03-22,5,2021-08-22,2021-08-18,132.06
id_440,2021-03-23,7,2021-10-23,2021-10-29,478.35
