,目标地址省市区,目标地址代码,目标地址,被比较地址省市区,被比较地址代码,被比较地址,相似度,adcode
1,浙江省绍兴市诸暨市,002263,城西工业区,浙江省绍兴市诸暨市,002590,店口镇工业区,0.77891016,330681
0,浙江省温州市乐清市,300349,经济开发区纬十七路291号,浙江省温州市乐清市,002730,经济开发区纬五路180号,0.7745967,330382
4,广东省深圳市南山区,002210,大新路198号马家龙创新大厦A栋601,广东省深圳市南山区,002313,大新路198号马家龙创新大厦17层1701,0.7726666,440305
6,广东省深圳市南山区,002313,大新路198号马家龙创新大厦17层1701,广东省深圳市南山区,002359,南头街道大新路马家龙创新大厦A座10层,0.77055246,440305
40,北京市市辖区海淀区,300182,知春路1号学院国际大厦709室,北京市市辖区海淀区,300719,知春路1号学院国际大厦11层1112室,0.76847833,110108
18,北京市市辖区海淀区,300324,丰秀中路3号院12号楼-1至5层101,北京市市辖区海淀区,300523,丰秀中路3号院1号楼-1至5层305,0.76252043,110108
2,北京市市辖区石景山区,300071,实兴大街30号院8号楼512,北京市市辖区石景山区,300353,实兴大街30号院2号楼8层901,0.7590027,110107
8,浙江省杭州市滨江区,300306,滨康路669号1号楼,浙江省杭州市滨江区,002214,滨康路639号,0.75473565,330108
0,四川省成都市金牛区,002312,高科技产业园区蜀西路42号,四川省成都市金牛区,002773,蜀西路36号,0.75,510106
1,广东省广州市番禺区,300177,东环街番禺大道北555号天安总部中心13号厂房101,广东省广州市番禺区,300448,东环街番禺大道北555号天安总部中心22号楼102房,0.74620247,440113
0,广东省深圳市南山区,002970,学苑大道1001号南山智园B1栋21-23楼,广东省深圳市南山区,002979,桃源街道学苑大道1001号南山智园A3栋9-11楼,0.73960024,440305
49,广东省深圳市南山区,300235,南头街道马家龙社区大新路198号创新大厦B栋901,广东省深圳市南山区,002359,南头街道大新路马家龙创新大厦A座10层,0.73714036,440305
37,广东省深圳市南山区,300235,南头街道马家龙社区大新路198号创新大厦B栋901,广东省深圳市南山区,002210,大新路198号马家龙创新大厦A栋601,0.7339513,440305
6,北京市市辖区海淀区,002350,西北旺东路10号院东区4号楼107,北京市市辖区海淀区,002410,西北旺东路10号院东区13号楼,0.7311697,110108
2,江苏省常州市新北区,300190,汉江路156号,江苏省常州市新北区,002708,汉江路52号,0.7293023,320411
0,浙江省湖州市德清县,300181,阜溪街道志远北路388号,浙江省湖州市德清县,300357,武康镇志远北路636号,0.7186556,330521
0,广东省深圳市福田区,002763,深南大道1006号深圳国际创新中心A栋31-32层,广东省深圳市福田区,002769,深南大道1006号深圳国际创新中心A栋21楼,0.71736896,440304
13,广东省深圳市福田区,300130,深南路车公庙工业区泰然劲松大厦17A,广东省深圳市福田区,002416,泰然大道东泰然劲松大厦20F,0.7121693,440304
8,广东省深圳市龙岗区,300389,坂田街道雪岗路2018号天安云谷产业园一期3栋A座18、19、20层,广东省深圳市龙岗区,002875,坂田街道雪岗路2018号天安云谷产业园一期3栋A座13-17楼,0.7083861,440307
1,浙江省金华市东阳市,300027,横店影视产业实验区C1001,浙江省金华市东阳市,002056,横店工业区,0.70710677,330783
1,上海市市辖区徐汇区,300613,宜山路717号6楼,上海市市辖区徐汇区,002195,宜山路700号85幢6楼,0.70710677,310104
2,浙江省嘉兴市嘉善县,300718,惠民街道鑫达路6号,浙江省嘉兴市嘉善县,002522,惠民街道泰山路1号,0.70710677,330421
1,湖南省长沙市浏阳市,300433,生物医药园,湖南省长沙市浏阳市,002847,生物医药工业园,0.70710677,430181
0,山东省烟台市龙口市,002355,龙口经济开发区,山东省烟台市龙口市,002363,外向型经济开发区,0.70710677,370681
3,江苏省无锡市宜兴市,300664,高塍镇工业集中区(胥井村),江苏省无锡市宜兴市,002778,徐舍镇鲸塘工业集中区,0.70710677,320282
0,江苏省常州市武进区,300429,遥观镇钱家工业园,江苏省常州市武进区,300660,遥观镇钱家塘路19号,0.7033309,320412
5,北京市市辖区昌平区,300003,超前路37号,北京市市辖区昌平区,002467,城区镇超前路13号,0.69796157,110114
30,广东省深圳市南山区,300546,粤海街道深圳市软件产业基地1栋C座9层,广东省深圳市南山区,002289,粤海街道深圳市软件产业基地1栋A座13层1302,0.6945835,440305
5,广东省深圳市福田区,002775,深南大道1006号深圳国际创新中心（福田科技广场）A栋35、36层,广东省深圳市福田区,002972,深南大道1006号深圳国际创新中心C栋14层,0.6941569,440304
42,广东省深圳市南山区,300235,南头街道马家龙社区大新路198号创新大厦B栋901,广东省深圳市南山区,002313,大新路198号马家龙创新大厦17层1701,0.69366014,440305
6,北京市市辖区海淀区,300445,丰秀中路3号院5号楼,北京市市辖区海淀区,300523,丰秀中路3号院1号楼-1至5层305,0.69015485,110108
1,江苏省苏州市吴江区,002491,震泽镇八都经济开发区小平大道8号,江苏省苏州市吴江区,002631,七都镇七都大道,0.6841916,320509
2,四川省成都市武侯区,300559,武侯电商产业功能区管委会武科西二路188号,四川省成都市武侯区,002651,武科东二路5号,0.6841916,510107
2,北京市市辖区海淀区,300674,高梁桥斜街42号院1号楼5层1-519,北京市市辖区海淀区,300797,高梁桥斜街13号,0.6828843,110108
56,北京市市辖区海淀区,300223,西北旺东路10号院东区14号楼一层A101-A113,北京市市辖区海淀区,002410,西北旺东路10号院东区13号楼,0.6772001,110108
0,北京市市辖区西城区,300456,裕民路18号北环中心A座2607室（德胜园区）,北京市市辖区西城区,002780,马甸南村4号楼-5号（德胜园区）,0.6741998,110102
11,北京市市辖区海淀区,300324,丰秀中路3号院12号楼-1至5层101,北京市市辖区海淀区,300445,丰秀中路3号院5号楼,0.671836,110108
4,北京市市辖区海淀区,002373,东北旺西路8号中关村软件园一期27号楼B座501号,北京市市辖区海淀区,002439,东北旺西路8号中关村软件园21号楼启明星辰大厦一层,0.6687706,110108
0,广东省珠海市金湾区,300146,三灶科技工业园星汉路19号,广东省珠海市金湾区,002141,三灶镇三灶科技工业园,0.6666666,440404
25,广东省深圳市福田区,300085,沙头街道天安社区泰然五路天安数码城天祥大厦10A-1,广东省深圳市福田区,002990,沙头街道天安社区泰然十路天安创新科技广场二期东座1601、1605,0.6627526,440304
2,北京市市辖区石景山区,300212,阜石路165号院1号楼1001室,北京市市辖区石景山区,300399,实兴大街30号院6号楼901室,0.65621394,110107
5,广东省深圳市南山区,300252,粤海街道高新区社区高新南九道10号深圳湾科技生态园10栋B座26层,广东省深圳市南山区,300506,高新南九道10号深圳湾科技生态园10栋A座17-20层01-06号,0.65550727,440305
1,湖南省长沙市浏阳市,300267,经济技术开发区康平路167号,湖南省长沙市浏阳市,300705,经济技术开发区健康大道1号,0.6546537,430181
27,北京市市辖区海淀区,002038,西三环北路100号金玉大厦1103-1105室,北京市市辖区海淀区,002987,西三环北路25号7层,0.65442985,110108
47,广东省深圳市南山区,300769,桃源街道福光社区留仙大道3370号南山智园崇文园区1号楼1001,广东省深圳市南山区,002979,桃源街道学苑大道1001号南山智园A3栋9-11楼,0.6505271,440305
3,广东省深圳市南山区,300468,科技中二路深圳科技园12#楼402、深圳软件园（2期）13栋302室,广东省深圳市南山区,300533,科技中二路1号深圳软件园（2期）9栋601、602室,0.6494556,440305
6,北京市市辖区丰台区,300073,南四环西路188号总部基地18区21号,北京市市辖区丰台区,002755,南四环西路188号七区28号楼,0.6488638,110106
11,广东省深圳市南山区,002210,大新路198号马家龙创新大厦A栋601,广东省深圳市南山区,002359,南头街道大新路马家龙创新大厦A座10层,0.6476799,440305
52,北京市市辖区海淀区,300282,西北旺东路10号院东区21号楼6层101-601,北京市市辖区海淀区,002410,西北旺东路10号院东区13号楼,0.64668053,110108
3,浙江省杭州市余杭区,300266,杭州余杭经济技术开发区望梅路1588号,浙江省杭州市余杭区,300643,杭州余杭经济技术开发区振兴东路12号,0.6444088,330110
51,广东省深圳市南山区,300348,粤海街道沙河西路深圳湾科技生态园一区2栋A座5层,广东省深圳市南山区,002436,白石路与沙河西路交汇处深圳湾科技生态园一区2栋A座8层-9层,0.6437966,440305
1,浙江省绍兴市新昌县,300611,新昌大道西路1365号,浙江省绍兴市新昌县,002020,羽林街道新昌大道东路800号,0.64259684,330624
2,福建省福州市鼓楼区,300560,铜盘路软件大道89号软件园F区4号楼20、21、22层,福建省福州市鼓楼区,002222,软件大道89号福州软件园F区9号楼,0.6422263,350102
6,广东省深圳市福田区,002769,深南大道1006号深圳国际创新中心A栋21楼,广东省深圳市福田区,002972,深南大道1006号深圳国际创新中心C栋14层,0.6379464,440304
6,广东省深圳市罗湖区,002256,笋岗街道笋西社区梨园路8号HALO广场一期五层,广东省深圳市罗湖区,002830,笋岗街道梨园路8号HALO广场（笋岗3号仓库整栋）3层15-16室,0.6377815,440303
1,江苏省苏州市昆山市,300522,周市镇黄浦江北路219号,江苏省苏州市昆山市,300809,周市镇横长泾路333号,0.6324555,320583
1,浙江省台州市临海市,002326,园区东海第五大道1号,浙江省台州市临海市,002489,前江南路1号,0.6324555,331082
1,江苏省苏州市太仓市,300261,太仓港港口开发区石化区东方东路18号,江苏省苏州市太仓市,002531,经济开发区宁波东路28号,0.6324555,320585
2,广东省汕头市澄海区,002292,文冠路中段奥迪工业园,广东省汕头市澄海区,002862,文冠路澄华工业区,0.6324555,440515
1,浙江省台州市椒江区,300256,洪家星星电子产业基地4号楼,浙江省台州市椒江区,002273,星星电子产业园区A5号,0.6324555,331002
0,福建省福州市马尾区,300648,快安马江大道石狮路6号1-4#楼,福建省福州市马尾区,002093,江滨东大道116号,0.6324555,350105
1,湖北省武汉市江夏区,300516,庙山开发区明泽街9号,湖北省武汉市江夏区,300527,庙山开发区阳光大道5号,0.6324555,420115
1,浙江省绍兴市新昌县,002050,七星街道下礼泉,浙江省绍兴市新昌县,002520,七星街道日发数字科技园,0.6324555,330624
2,广东省深圳市宝安区,002183,新安街道兴华路南侧荣超滨海大厦A座1713,广东省深圳市宝安区,002340,宝安中心区兴华路南侧荣超滨海大厦A栋20层2008号房,0.63101906,440306
4,广东省佛山市南海区,300417,桂城街道科泓路1号,广东省佛山市南海区,002291,桂城街道庆安路2号,0.62767184,440605
0,浙江省绍兴市诸暨市,002590,店口镇工业区,浙江省绍兴市诸暨市,002617,店口镇露笑路38号,0.62401277,330681
12,北京市市辖区海淀区,002350,西北旺东路10号院东区4号楼107,北京市市辖区海淀区,002649,西北旺东路10号院东区7号楼博彦科技大厦,0.6216062,110108
0,浙江省绍兴市新昌县,002001,羽林街道江北路4号,浙江省绍兴市新昌县,002020,羽林街道新昌大道东路800号,0.62128,330624
0,广东省深圳市福田区,002769,深南大道1006号深圳国际创新中心A栋21楼,广东省深圳市福田区,002775,深南大道1006号深圳国际创新中心（福田科技广场）A栋35、36层,0.6173081,440304
22,广东省深圳市南山区,300572,粤海街道学府路63号高新区联合总部大厦35楼,广东省深圳市南山区,002170,高新技术园学府路63号联合总部大厦30-31楼,0.6164301,440305
25,广东省深圳市南山区,002161,粤海街道高新南十道63号高新区联合总部大厦27、28楼,广东省深圳市南山区,002587,粤海街道学府路63号高新区联合总部大厦10楼,0.6141226,440305
12,广东省深圳市南山区,300506,高新南九道10号深圳湾科技生态园10栋A座17-20层01-06号,广东省深圳市南山区,300689,粤海街道高新区社区高新南九道10号深圳湾科技生态园10栋B3401-B3404,0.61400175,440305
20,广东省深圳市南山区,300454,学苑大道1001号南山智园A1栋一层,广东省深圳市南山区,300771,学苑大道1001号南山智园C3栋15层,0.61128956,440305
12,浙江省杭州市滨江区,300203,滨安路760号,浙江省杭州市滨江区,002236,滨安路1187号,0.60272837,330108
0,浙江省绍兴市柯桥区,002006,鉴湖路1809号,浙江省绍兴市柯桥区,002370,云集路1152号,0.6019038,330603
2,上海市市辖区奉贤区,002252,望园路2009号,上海市市辖区奉贤区,002669,雷州路169号,0.6019038,310120
0,浙江省温州市乐清市,300032,北白象镇进港大道边金龙科技园,浙江省温州市乐清市,300283,北白象镇大桥工业区塘下片区,0.6,330382
2,浙江省杭州市余杭区,300643,杭州余杭经济技术开发区振兴东路12号,浙江省杭州市余杭区,002508,余杭经济开发区临平大道592号,0.6,330110
2,广东省深圳市龙岗区,002137,宝龙工业城宝龙六路实益达科技园,广东省深圳市龙岗区,002551,宝龙工业城宝龙5路2号尚荣科技工业园,0.5981021,440307
11,广东省深圳市龙岗区,300197,坂田街道雪岗路2018号天安云谷产业园一期3栋B座20层2002单元,广东省深圳市龙岗区,002875,坂田街道雪岗路2018号天安云谷产业园一期3栋A座13-17楼,0.59311604,440307
2,广东省广州市天河区,300781,珠江珠江东路6号广州周大福金融中心6001房自编05-06单元,广东省广州市天河区,002192,珠江西路5号广州国际金融中心主塔写字楼第45层04-05单元,0.592894,440106
6,北京市市辖区朝阳区,300688,酒仙桥北路7号60幢一层027,北京市市辖区朝阳区,002707,酒仙桥北路9号（厂区）7幢1层567号,0.5925994,110105
24,广东省深圳市南山区,002334,桃源街道长源社区学苑大道南山智园A7栋501,广东省深圳市南山区,002970,学苑大道1001号南山智园B1栋21-23楼,0.5878393,440305
17,北京市市辖区海淀区,300315,中关村奥北科技园领智中心北楼9层901(东升地区),北京市市辖区海淀区,300496,清华东路9号创达大厦1层101-105室(东升地区),0.5857531,110108
45,广东省深圳市南山区,300771,学苑大道1001号南山智园C3栋15层,广东省深圳市南山区,002970,学苑大道1001号南山智园B1栋21-23楼,0.5856797,440305
2,北京市市辖区石景山区,300291,八大处高科技园区西井路3号3号楼5365房间,北京市市辖区石景山区,300431,实兴大街30号院3号楼2层D-1067房间,0.5842934,110107
2,北京市市辖区丰台区,002738,海鹰路5号6层613室,北京市市辖区丰台区,002893,南四环西路186号三区4号楼5层01室,0.58320606,110106
12,浙江省杭州市滨江区,300250,西兴街道物联网街259号,浙江省杭州市滨江区,002280,物联网街451号芯图大厦18层,0.58318716,330108
6,江苏省苏州市张家港市,002245,杨舍镇新泾中路10号,江苏省苏州市张家港市,002839,杨舍镇人民中路66号,0.5809159,320582
25,广东省深圳市南山区,300531,粤海街道学府路63号高新区联合总部大厦36楼,广东省深圳市南山区,002170,高新技术园学府路63号联合总部大厦30-31楼,0.5795822,440305
3,北京市市辖区海淀区,300513,保福寺A区世纪科贸大厦C座1501号,北京市市辖区海淀区,300552,中关村软件园12号楼A区,0.5777845,110108
1,福建省厦门市海沧区,002803,东孚工业区二期浦头路9号,福建省厦门市海沧区,002925,东孚西路100号,0.57735026,350205
3,广东省佛山市南海区,002260,松岗松夏工业园工业大道西,广东省佛山市南海区,002918,西樵轻纺城工业园,0.57735026,440605
4,浙江省绍兴市诸暨市,002011,店口工业区,浙江省绍兴市诸暨市,002590,店口镇工业区,0.57735026,330681
0,江苏省徐州市新沂市,300717,大桥东路189号,江苏省徐州市新沂市,002513,经济开发区苏化路1号,0.57735026,320381
1,江苏省苏州市昆山市,300836,玉山镇紫竹路1689号6号房,江苏省苏州市昆山市,002463,玉山镇东龙路1号,0.57735026,320583
1,广东省广州市增城区,002060,新塘镇广深大道西1号1幢水电广场A-1商务中心20层,广东省广州市增城区,002678,永宁街香山大道38号,0.57735026,440118
1,北京市市辖区丰台区,002755,南四环西路188号七区28号楼,北京市市辖区丰台区,002893,南四环西路186号三区4号楼5层01室,0.57735026,110106
1,山东省潍坊市诸城市,300237,密州东路12001号,山东省潍坊市诸城市,002485,东环路58号,0.57735026,370782
1,上海市市辖区浦东新区,300061,川大路555号,上海市市辖区浦东新区,300272,川沙镇川大路508、518号,0.57735026,310115
1,广东省佛山市禅城区,300173,季华六路17号五座3301-3310室,广东省佛山市禅城区,002911,季华五路25号,0.57735026,440604
0,浙江省绍兴市诸暨市,002617,店口镇露笑路38号,浙江省绍兴市诸暨市,002633,望云路132号,0.57735026,330681
1,江苏省苏州市常熟市,002150,海虞镇周行通港工业开发区,江苏省苏州市常熟市,002309,东南经济开发区,0.57735026,320581
1,江苏省南京市建邺区,300209,云龙山路80号,江苏省南京市建邺区,300826,创意路88号,0.57735026,320105
2,上海市市辖区闵行区,002162,浦江镇三鲁公路2121号,上海市市辖区闵行区,002278,浦星公路1769号,0.57735026,310112
1,浙江省绍兴市诸暨市,002011,店口工业区,浙江省绍兴市诸暨市,002203,店口镇工业区,0.57735026,330681
49,北京市市辖区海淀区,300223,西北旺东路10号院东区14号楼一层A101-A113,北京市市辖区海淀区,002350,西北旺东路10号院东区4号楼107,0.57636505,110108
61,北京市市辖区海淀区,300034,大柳树南村19号,北京市市辖区海淀区,002306,马甸东路19号9层1017,0.5729456,110108
27,广东省深圳市南山区,002213,粤海街道高新区社区科技南路18号深圳湾科技生态园12栋A1406,广东省深圳市南山区,002869,粤海街道科技南路16号深圳湾科技生态园11栋A座18-20层01-08号,0.5725966,440305
4,广东省深圳市南山区,300533,科技中二路1号深圳软件园（2期）9栋601、602室,广东省深圳市南山区,300633,粤海街道麻岭社区高新中区科技中2路1号深圳软件园（2期）12栋201、202,0.57168424,440305
7,广东省深圳市福田区,002763,深南大道1006号深圳国际创新中心A栋31-32层,广东省深圳市福田区,002972,深南大道1006号深圳国际创新中心C栋14层,0.57156664,440304
12,广东省深圳市福田区,300333,泰然八路泰然大厦C座1605,广东省深圳市福田区,002416,泰然大道东泰然劲松大厦20F,0.57006127,440304
10,广东省深圳市龙岗区,300044,南湾街道下李朗社区联李东路8号赛为大楼A101至15楼,广东省深圳市龙岗区,002429,南湾街道下李朗社区李朗路一号兆驰创新产业园,0.56770223,440307
8,江苏省苏州市张家港市,002172,杨舍镇塘市镇中路018号,江苏省苏州市张家港市,002839,杨舍镇人民中路66号,0.5675328,320582
13,北京市市辖区海淀区,300157,丰秀中路3号院4号楼401室,北京市市辖区海淀区,300324,丰秀中路3号院12号楼-1至5层101,0.5674162,110108
0,福建省福州市闽侯县,300525,上街镇高新大道5号,福建省福州市闽侯县,300712,上街镇海西科技园高新大道3号,0.5669467,350121
8,浙江省杭州市滨江区,300025,长河街道聚才路500号,浙江省杭州市滨江区,300604,聚才路410号,0.5645031,330108
3,广东省广州市黄埔区,002027,中新知识城凤凰三路8号2号楼2130室,广东省广州市黄埔区,002709,云埔工业区东诚片康达路8号,0.5625431,440112
45,北京市市辖区海淀区,300282,西北旺东路10号院东区21号楼6层101-601,北京市市辖区海淀区,002350,西北旺东路10号院东区4号楼107,0.55921006,110108
25,广东省深圳市南山区,002334,桃源街道长源社区学苑大道南山智园A7栋501,广东省深圳市南山区,002979,桃源街道学苑大道1001号南山智园A3栋9-11楼,0.55750734,440305
1,北京市市辖区海淀区,002362,东北旺西路8号5号楼三层,北京市市辖区海淀区,002373,东北旺西路8号中关村软件园一期27号楼B座501号,0.55608284,110108
3,浙江省杭州市滨江区,002236,滨安路1187号,浙江省杭州市滨江区,002767,滨安路1186-1号,0.5547002,330108
3,广东省深圳市南山区,002917,高新技术产业园区（南区）R2-A栋3、4层,广东省深圳市南山区,002980,西丽白芒松白公路百旺信工业区五区19＃、21＃厂房、A区（一区）4号厂房,0.554679,440305
46,广东省深圳市南山区,300771,学苑大道1001号南山智园C3栋15层,广东省深圳市南山区,002979,桃源街道学苑大道1001号南山智园A3栋9-11楼,0.5538707,440305
0,广东省佛山市顺德区,300464,北滘镇北滘社区居民委员会科业路3号,广东省佛山市顺德区,300720,北滘镇黄龙村委会龙展路3号,0.55340135,440606
0,上海市市辖区金山区,300578,吕巷镇红光路4200－4201号2757室,上海市市辖区金山区,300609,亭林镇亭枫公路333号216室,0.55279624,310116
4,北京市市辖区海淀区,300444,上地三街9号D座1111,北京市市辖区海淀区,300477,上地三街9号(嘉华大厦)D座1211、1212,0.55163306,110108
66,广东省深圳市南山区,300454,学苑大道1001号南山智园A1栋一层,广东省深圳市南山区,002970,学苑大道1001号南山智园B1栋21-23楼,0.5506625,440305
1,广东省深圳市宝安区,002831,石岩街道水田社区石环路1号A栋，B栋，C栋，E栋，H栋，J栋，G栋,广东省深圳市宝安区,002938,燕罗街道燕川社区松罗路鹏鼎园区厂房A1栋至A3栋,0.54912513,440306
6,北京市市辖区海淀区,002362,东北旺西路8号5号楼三层,北京市市辖区海淀区,002439,东北旺西路8号中关村软件园21号楼启明星辰大厦一层,0.5487452,110108
67,广东省深圳市南山区,300454,学苑大道1001号南山智园A1栋一层,广东省深圳市南山区,002979,桃源街道学苑大道1001号南山智园A3栋9-11楼,0.54822737,440305
47,北京市市辖区海淀区,300444,上地三街9号D座1111,北京市市辖区海淀区,002955,上地三街9号C座C1104室,0.54565346,110108
40,北京市市辖区海淀区,300139,西三环北路87号国际财经中心D座503,北京市市辖区海淀区,300661,西三环北路87号13层3-1301,0.54525864,110108
12,北京市市辖区朝阳区,300036,酒仙桥北路甲10号电子城IT产业园107楼6层,北京市市辖区朝阳区,002310,酒仙桥北路甲10号院104号楼6层601号,0.5427869,110105
8,广东省深圳市南山区,300468,科技中二路深圳科技园12#楼402、深圳软件园（2期）13栋302室,广东省深圳市南山区,300633,粤海街道麻岭社区高新中区科技中2路1号深圳软件园（2期）12栋201、202,0.5404767,440305
3,福建省福州市鼓楼区,300560,铜盘路软件大道89号软件园F区4号楼20、21、22层,福建省福州市鼓楼区,002474,铜盘路福州软件园产业基地,0.53923714,350102
1,广东省深圳市罗湖区,002285,深南东路2028号罗湖商务中心12楼,广东省深圳市罗湖区,002482,深南东路2098号,0.5388148,440303
5,江苏省苏州市吴江区,300715,七都镇亨通大道8号,江苏省苏州市吴江区,002631,七都镇七都大道,0.53789616,320509
6,广东省广州市黄埔区,300098,科学城开创大道2819号六楼,广东省广州市黄埔区,002656,科学城光谱中路23号,0.5357977,440112
6,江苏省无锡市江阴市,300537,青阳镇工业集中区华澄路18号,江苏省无锡市江阴市,002610,华士工业集中区红苗园区勤丰路1015号,0.53576744,320281
2,北京市市辖区朝阳区,300736,阜通东大街6号院1号楼16层1906,北京市市辖区朝阳区,002310,酒仙桥北路甲10号院104号楼6层601号,0.5338404,110105
0,广东省广州市天河区,300687,珠江东路12号16楼1603-1605单元,广东省广州市天河区,300781,珠江珠江东路6号广州周大福金融中心6001房自编05-06单元,0.5322685,440106
62,北京市市辖区海淀区,300223,西北旺东路10号院东区14号楼一层A101-A113,北京市市辖区海淀区,002649,西北旺东路10号院东区7号楼博彦科技大厦,0.52739596,110108
1,江苏省苏州市张家港市,002172,杨舍镇塘市镇中路018号,江苏省苏州市张家港市,002245,杨舍镇新泾中路10号,0.527207,320582
3,北京市市辖区海淀区,300223,西北旺东路10号院东区14号楼一层A101-A113,北京市市辖区海淀区,300282,西北旺东路10号院东区21号楼6层101-601,0.5259826,110108
6,广东省深圳市福田区,300377,华富街道莲花一村社区皇岗路5001号深业上城南区T2栋3701,广东省深圳市福田区,002240,华富街道华富路1018号中航中心31楼3101-3102,0.5229976,440304
20,广东省深圳市南山区,300572,粤海街道学府路63号高新区联合总部大厦35楼,广东省深圳市南山区,002161,粤海街道高新南十道63号高新区联合总部大厦27、28楼,0.52248865,440305
32,北京市市辖区海淀区,300157,丰秀中路3号院4号楼401室,北京市市辖区海淀区,300523,丰秀中路3号院1号楼-1至5层305,0.520561,110108
7,江苏省苏州市张家港市,300509,经济开发区南区（新泾东路）,江苏省苏州市张家港市,002255,东南大道1号（张家港经济技术开发区）,0.518466,320582
12,浙江省杭州市滨江区,300347,江南大道618号东冠大厦1502-1,浙江省杭州市滨江区,002767,滨安路1186-1号,0.51767504,330108
1,浙江省金华市永康市,002615,经济开发区哈尔斯路1号,浙江省金华市永康市,002779,经济开发区名园南大道10号,0.5163978,330784
4,广东省深圳市南山区,002766,南头街道安乐社区关口二路15号智恒产业园19栋2层,广东省深圳市南山区,002886,南头关口二路智恒战略性新兴产业园10栋1至2楼,0.51549506,440305
69,北京市市辖区海淀区,300045,东北旺西路8号院中关村软件园乙18号楼创通科技大厦,北京市市辖区海淀区,002439,东北旺西路8号中关村软件园21号楼启明星辰大厦一层,0.5129552,110108
4,北京市市辖区丰台区,300309,海鹰路1号院2号楼2层201室,北京市市辖区丰台区,002738,海鹰路5号6层613室,0.51261616,110106
